group,proposed,current,change,name,title,reason,in_qq_register,is_making_source,making_review,triage,duty_types,amended_as_follows,insert_subst,own_shall_must,chars,verdict,needs_eye
A amending,not_making,making,yes,UK_ssi_2007_179,Radioactive Contaminated Land (Scotland) Regulations,review_conflict,yes,legacy_drrp,,not_making,"[""Duty"", ""Responsibility"", ""Power""]",0,26,14,13795,,QQ; applies EPA Part IIA with modifications (amending or own regime?)
A amending,not_making,making,yes,UK_wsi_2026_18,Beavers (Wales) Order,review_lat_deleted,,review,making,,,1,3,0,1181,,adds beavers to a schedule (amending)
B own duties,making,making,,UK_nisr_2009_132,Health and Safety (Fees) Regulations (Northern Ireland),review_lat_deleted,,legacy_drrp,,,"[""Duty"", ""Responsibility""]",0,3,37,15920,,"Fees regs (NI): ""shall pay a fee"" (procedural?)"
B own duties,making,making,,UK_uksi_1987_605,Health and Safety (Fees) Regulations,review_lat_deleted,,legacy_drrp,,,"[""Duty"", ""Responsibility""]",0,0,44,11895,,"Fees regs: ""shall pay a fee"" (the #161 brief classed Fees SIs as procedural)"
B own duties,making,making,,UK_uksi_2003_2563,Pipelines Safety (Amendment) Regulations,review_conflict,,legacy_drrp,,not_making,"[""Responsibility""]",0,0,8,2288,,title says (Amendment)
B own duties,making,not_making,yes,UK_uksi_2008_198,Passenger and Goods Vehicles (Recording Equipment) (Downloading and Retention of Data) Reg,held_5,yes,,making,,,0,6,10,12765,,"fractalaw text review: inserts TA 1968 ss97C-G, so amending (policy: not Making); heuristic said B"
C no duties,not_making,making,yes,UK_uksi_1987_2116,Benzene in Toys (Safety) Regulations,review_lat_deleted,,review,making,,"[""Duty""]",0,0,2,781,,"tiny instrument, may be a pure prohibition (""no person shall supply"")"
C no duties,not_making,making,yes,UK_uksi_2010_471,Fire Safety (Employees’ Capabilities) (England) Regulations,review_conflict,yes,legacy_drrp,,not_making,"[""Duty""]",0,0,2,665,,"QQ; ""employer shall take into account"" is the whole duty"
C no duties,not_making,making,yes,UK_wsi_2012_1085,Fire Safety (Employees' Capabilities) (Wales) Regulations,review_conflict,yes,enrichment,,not_making,"[""Duty""]",0,0,1,573,,QQ; Welsh twin of Fire Safety (Employees' Capabilities)
D judgement,,making,,UK_uksi_2012_1886,Fire and Rescue Authorities (National Framework) (England) Order,review_lat_deleted,,review,making,,,0,0,3,927,,borderline: 3 own shall/must
D judgement,,making,,UK_uksi_2017_3,Compulsory Purchase of Land (Vesting Declarations) (England) Regulations,review_conflict,,legacy_drrp,,not_making,"[""Responsibility""]",0,0,3,3685,,borderline: 3 own shall/must
A amending,not_making,not_making,,UK_ssi_2005_22,Waste (Scotland) Regulations,fractalaw_amending,yes,legacy_is_making,,,"[""Right""]",7,6,17,14724,,
A amending,not_making,not_making,,UK_ssi_2012_148,Waste (Scotland) Regulations,fractalaw_amending,yes,legacy_is_making,,,,4,44,14,19622,,
