bucket,law_name,title,family,geo_extent,type_code,ni_law,detail,tier,confidence,matched_dimensions,caveats
register_gap_or_overmatch,UK_apni_1970_10,Explosives Act (Northern Ireland),💙 FIRE: Dangerous and Explosive Substances,NI,apni,t,material:explosives,strong,1.0,material,
register_gap_or_overmatch,UK_nisr_1991_509,Dangerous Substances in Harbour Areas Regulations (Northern Ireland),💙 FIRE: Dangerous and Explosive Substances,UK,nisr,t,material:dangerous_substances material:substances material:petroleum territorial:harbour territorial:territorial_sea territorial:premises,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_nisr_1993_20,Personal Protective Equipment at Work Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,UK,nisr,t,,strong,1.0,,
register_gap_or_overmatch,UK_nisr_1993_37,"Workplace (Health, Safety and Welfare) Regulations (Northern Ireland)",💙 OH&S: Occupational / Personal Safety,UK,nisr,t,personal:employer personal:employee territorial:workplace territorial:ship,strong,1.0,personal/territorial,
register_gap_or_overmatch,UK_nisr_1997_455,"Reporting of Injuries, Diseases and Dangerous Occurrences Regulations (Northern Ireland)",💙 OH&S: Occupational / Personal Safety,UK,nisr,t,territorial:territorial_sea territorial:workplace material:substances material:vehicle personal:employee,strong,0.8,material/personal/territorial,
register_gap_or_overmatch,UK_nisr_1999_304,Lifting Operations and Lifting Equipment Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,material:work_equipment territorial:ship conditional:at_work personal:employer personal:employee territorial:territorial_sea territorial:premises,strong,1.0,conditional/material/personal/territorial,
register_gap_or_overmatch,UK_nisr_1999_305,Provision and Use of Work Equipment Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,material:work_equipment territorial:ship personal:employer personal:employee territorial:workplace territorial:territorial_sea territorial:premises,strong,1.0,material/personal/territorial,
register_gap_or_overmatch,UK_nisr_2000_388,Management of Health and Safety at Work Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,personal:employer personal:employee territorial:workplace conditional:at_work territorial:premises territorial:territorial_sea,strong,1.0,conditional/personal/territorial,
register_gap_or_overmatch,UK_nisr_2003_152,Dangerous Substances and Explosive Atmospheres Regulations (Northern Ireland),💙 FIRE: Dangerous and Explosive Substances,NI,nisr,t,territorial:territorial_sea territorial:premises material:explosives personal:employer territorial:workplace personal:employee territorial:aircraft conditional:at_work,strong,1.0,conditional/material/personal/territorial,
register_gap_or_overmatch,UK_nisr_2003_34,Control of Substances Hazardous to Health Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,territorial:aircraft territorial:territorial_sea territorial:premises material:biological_agents material:waste personal:employer personal:employee territorial:workplace,strong,1.0,material/personal/territorial,
register_gap_or_overmatch,UK_nisr_2003_97,Environmental Protection (Controls on Ozone-Depleting Substances) Regulations (Northern Ireland),💚 ENVIRONMENTAL PROTECTION,UK,nisr,t,material:substances personal:importer,probable,0.7,material/personal,
register_gap_or_overmatch,UK_nisr_2004_222,Pressure Systems Safety Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,conditional:at_work material:pressure_systems territorial:territorial_sea territorial:premises territorial:aircraft personal:employer personal:employee,strong,1.0,conditional/material/personal/territorial,
register_gap_or_overmatch,UK_nisr_2004_63,Gas Safety (Installation and Use) Regulations (Northern Ireland),💙 OH&S: Gas & Electrical Safety,NI,nisr,t,material:vehicle territorial:establishment material:construction_work territorial:premises territorial:ship,probable,0.6,material/territorial,
register_gap_or_overmatch,UK_nisr_2005_279,Work at Height Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,personal:employer territorial:aircraft personal:employee territorial:territorial_sea territorial:premises,strong,1.0,personal/territorial,
register_gap_or_overmatch,UK_nisr_2005_397,Control of Vibration at Work Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,UK,nisr,t,territorial:aircraft territorial:territorial_sea territorial:premises conditional:at_work personal:employer personal:employee,strong,1.0,conditional/personal/territorial,
register_gap_or_overmatch,UK_nisr_2005_45,Diving at Work Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,territorial:aircraft material:diving_operations territorial:territorial_sea territorial:premises,strong,1.0,material/territorial,
