bucket,law_name,title,family,geo_extent,detail,register_source
construction_misfire,UK_eudr_1994_63,European Parliament and Council Directive 94/63/EC of 20 December 1994 on the control of volatile organic compound (VOC) emissions resulting from the storage of petrol and its distribution from terminals to service stations,,UK,needs 'construction' (statutory interpretation sense),enhesa_import
construction_misfire,UK_eudr_2008_68,Directive 2008/68/EC of the European Parliament and of the Council of 24 September 2008 on the inland transport of dangerous goods (Text with EEA relevance),💙 FIRE: Dangerous and Explosive Substances,UK,needs 'construction' (statutory interpretation sense),enhesa_import
construction_misfire,UK_uksi_1979_628,Social Security (Claims and Payments) Regulations,💜 HR: Insurance / Compensation / Wages / Benefits,UK,needs 'construction' (statutory interpretation sense),enhesa_import
construction_misfire,UK_uksi_1999_1148,Water Supply (Water Fittings) Regulations,💚 WATER & WASTEWATER,E+W,needs 'construction' (statutory interpretation sense),enhesa_import
construction_misfire,UK_uksi_2008_2694,Sustainable Communities Regulations,💚 CLIMATE CHANGE,UK,needs 'construction' (statutory interpretation sense),enhesa_import
construction_misfire,UK_uksi_2012_1657,Plant Protection Products (Sustainable Use) Regulations,💚 PLANT HEALTH,UK,needs 'construction' (statutory interpretation sense),enhesa_import
construction_misfire,UK_uksi_2015_51,Construction (Design and Management) Regulations,💙 OH&S: Occupational / Personal Safety,UK,needs 'construction' (statutory interpretation sense),enhesa_import
construction_misfire,UK_uksi_2020_1444,Clean Air Zones Central Services (Fees) (England) Regulations,💚 AIR QUALITY,UK,needs 'construction' (statutory interpretation sense),enhesa_import
generic_code_gate,UK_asc_2023_3,Historic Environment (Wales) Act,💚 HISTORIC ENVIRONMENT,E+W,,enhesa_import
generic_code_gate,UK_asp_2003_1,Local Government in Scotland Act,,S,,enhesa_import
generic_code_gate,UK_eudr_1989_391,Council Directive of 12 June 1989 on the introduction of measures to encourage improvements in the safety and health of workers at work (89/391/EEC),💙 OH&S: Occupational / Personal Safety,UK,,enhesa_import
generic_code_gate,UK_eudr_2006_126,Directive 2006/126/EC of the European Parliament and of the Council of 20 December 2006 on driving licences (Recast) (Text with EEA relevance),💙 TRANSPORT: Road Safety,UK,,enhesa_import
generic_code_gate,UK_eudr_2011_92,Directive 2011/92/EU of the European Parliament and of the Council of 13 December 2011 on the assessment of the effects of certain public and private projects on the environment (codification) (Text with EEA relevance),💚 ENVIRONMENTAL PROTECTION,UK,,enhesa_import
generic_code_gate,UK_eudr_2012_27,"Directive 2012/27/EU of the European Parliament and of the Council of 25 October 2012 on energy efficiency, amending Directives 2009/125/EC and 2010/30/EU and repealing Directives 2004/8/EC and 2006/32/EC (Text with EEA relevance)",💚 ENERGY,UK,,enhesa_import
generic_code_gate,UK_eur_2008_304,"Commission Regulation (EC) No 304/2008 of 2 April 2008 establishing, pursuant to Regulation (EC) No 842/2006 of the European Parliament and of the Council, minimum requirements and the conditions for mutual recognition for the certification of companies and personnel as regards stationary fire protection systems and fire extinguishers containing certain fluorinated greenhouse gases (Text with EEA relevance)",💚 CLIMATE CHANGE,UK,,enhesa_import
generic_code_gate,UK_mwa_2010_8,Waste (Wales) Measure,💚 WASTE,W,,enhesa_import
generic_code_gate,UK_ssi_2004_428,Building (Procedure) (Scotland) Regulations,💙 PUBLIC: Building Safety,UK,,enhesa_import
generic_code_gate,UK_ssi_2009_140,Renewables Obligation (Scotland) Order,💚 ENERGY,UK,,enhesa_import
generic_code_gate,UK_ssi_2016_146,Assessment of Energy Performance of Non-domestic Buildings (Scotland) Regulations,💚 BUILDINGS,UK,,enhesa_import
