bucket,law_name,title,family,type_code,live,register_source,verdict
bms_import,UK_eur_2006_,"Regulation (EC) No 1907/2006 concerning the Registration, Evaluation, Authorisation and Restriction of Chemicals (REACH)",💙 OH&S: Occupational / Personal Safety,eur,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_ssi_2000_323,Pollution Prevention and Control (Scotland) Regulations,💚 POLLUTION,ssi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_ssi_2002_493,Large Combustion Plants (Scotland) Regulations,💚 POLLUTION,ssi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_ssi_2003_170,Waste Incineration (Scotland) Regulations,💚 WASTE,ssi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_ssi_2009_420,Water Environment (Groundwater and Priority Substances) (Scotland) Regulations,💚 WATER & WASTEWATER,ssi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_ukpga_1975_23,Reservoirs Act,💚 WATER & WASTEWATER,ukpga,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_ukpga_1985_48,Food and Environment Protection Act,💙 FOOD,ukpga,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1972_1178,Gas Safety Regulations,💙 OH&S: Gas & Electrical Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1972_1957,Cooking Utensils (Safety) Regulations,,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1985_2042,Asbestos Products (Safety) Regulations,💙 PUBLIC: Consumer / Product Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1991_1531,Control of Explosives Regulations,💙 FIRE: Dangerous and Explosive Substances,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1991_2749,Simple Pressure Vessels (Safety) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1992_3073,Supply of Machinery (Safety) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1993_2714,Placing on the Market and Supervision of Transfers of Explosives Regulations,💙 FIRE: Dangerous and Explosive Substances,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1993_834,Medicines Act 1968 (Amendment) Regulations,,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1994_2479,Maternity (Compulsory Leave) Regulations,💜 HR: Employment,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1994_3098,Simple Pressure Vessels (Safety) (Amendment) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1995_2200,Food Safety (Temperature Control) Regulations,💙 FOOD,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1996_192,Equipment and Protective Systems Intended for Use in Potentially Explosive Atmospheres Regulations,💙 FIRE: Dangerous and Explosive Substances,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1997_831,Lifts Regulations,💙 OH&S: Occupational / Personal Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_1998_2746,Groundwater Regulations 1998,💚 WATER & WASTEWATER,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2000_1973,Pollution Prevention and Control (England and Wales) Regulations,💚 POLLUTION,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2001_2975,Radiation (Emergency Preparedness and Public Information) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2002_1559,Landfill (England and Wales) Regulations,💚 WASTE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2003_3274,Environmental Protection (Controls on Dangerous Substances) Regulations,💚 ENVIRONMENTAL PROTECTION,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2004_1188,Packaging (Essential Requirements) (Amendment) Regulations,💚 WASTE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2005_1082,Manufacture and Storage of Explosives Regulations,💙 FIRE: Dangerous and Explosive Substances,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2005_1528,Waste Management Licensing (England and Wales)(Amendment and Related Provisions)(No. 2) Regulations 2005,💚 WASTE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2005_1673,List of Wastes (England) (Amendment) Regulations 2005,💚 WASTE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2005_2059,Food Hygiene (England) Regulations,💙 FOOD,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2005_830,Equipment and Protective Systems Intended for Use in Potentially Explosive Atmospheres (Amendment) Regulations,💙 FIRE: Dangerous and Explosive Substances,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2005_895,List of Wastes (England) Regulations,💚 WASTE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2006_3315,Waste Electrical and Electronic Equipment (Waste Management Licensing) (England and Wales) Regulations,💚 WASTE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2006_3418,Electromagnetic Compatibility Regulations,💙 PUBLIC: Consumer / Product Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2007_3438,Controls on Dangerous Substances and Preparations (Amendment) (No. 2) Regulations,💙 FIRE: Dangerous and Explosive Substances,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2007_734,Rules of the Air Regulations,💙 TRANSPORT: Air Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2007_871,Producer Responsibility Obligations (Packaging Waste) Regulations,💚 WASTE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2007_923,Smoke-free (Signs) Regulations,💙 HEALTH: Public,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2008_669,Rules of the Air (Amendment) Regulations,💙 TRANSPORT: Air Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2009_153,Environmental Damage (Prevention and Remediation) Regulations,💚 ENVIRONMENTAL PROTECTION,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2009_1901,Planning (Hazardous Substances) (Amendment) (England) Regulations 2009,💚 PLANNING & INFRASTRUCTURE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2009_2169,Rules of the Air (Amendment) Regulations,,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2009_2301,Aviation Greenhouse Gas Emissions Trading Scheme Regulations,💚 CLIMATE CHANGE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2009_3381,Environmental Permitting (England and Wales) (Amendment) (No. 2) Regulations,💚 ENVIRONMENTAL PROTECTION,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2010_1996,Aviation Greenhouse Gas Emissions Trading Scheme Regulations,💚 CLIMATE CHANGE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2011_1128,Wireless Telegraphy (Licence Charges) Regulations,,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2011_2043,Environmental Permitting (England and Wales) (Amendment) Regulations,💚 ENVIRONMENTAL PROTECTION,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2012_3054,Air Navigation (Dangerous Goods) (Amendment) Regulations,,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2012_3082,Producer Responsibility Obligations (Packaging Waste) (Amendment) Regulations,💚 WASTE,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2013_390,Environmental Permitting (England and Wales) (Amendment) Regulations,💚 ENVIRONMENTAL PROTECTION,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2013_449,Identification and Traceability of Explosives Regulations,💙 FIRE: Dangerous and Explosive Substances,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2014_1512,Merchant Shipping (International Safety Management (ISM) Code) Regulations,💙 TRANSPORT: Maritime Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2014_162,Heavy Fuel Oil (Amendment) Regulations,💚 AIR QUALITY,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2014_1942,Control of Explosives Precursors Regulations,💙 FIRE: Dangerous and Explosive Substances,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2016_1025,Merchant Shipping (Marine Equipment) Regulations,💙 TRANSPORT: Maritime Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_uksi_2017_238,Health and Safety (Miscellaneous Amendments) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_wsi_2007_787,Smoke-free Premises etc. (Wales) Regulations,💙 HEALTH: Public,wsi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_wsi_2010_450,Planning (Hazardous Substances) (Amendment) (Wales) Regulations,💚 PLANNING & INFRASTRUCTURE,wsi,❌ Revoked / Repealed / Abolished,bms_import,
bms_import,UK_wsi_2013_2506,Nitrate Pollution Prevention (Wales) Regulations 2013,💚 POLLUTION,wsi,❌ Revoked / Repealed / Abolished,bms_import,
enhesa_import,UK_eudn_2017_547,Commission Implementing Decision (EU) 2017/547 of 21 March 2017 on the organisation of a temporary experiment under Council Directive 2002/56/EC as regards seed potato tubers derived from true potato seed (notified under document C(2017) 1736) (Text with EEA relevance),💚 AGRICULTURE,eudn,❌ Revoked / Repealed / Abolished,enhesa_import,
