bucket,law_name,title,family,type_code,making_classification,making_confidence,making_review,signals_making,lat_count,has_fitness,has_tree,register_source,verdict
eu_directive_or_decision,UK_eudn_2000_532,Commission Decision of 3 May 2000 replacing Decision 94/3/EC establishing a list of wastes pursuant to Article 1(a) of Council Directive 75/442/EEC on waste and Council Decision 94/904/EC establishing a list of hazardous waste pursuant to Article 1(4) of Council Directive 91/689/EEC on hazardous waste (notified under document number C(2000) 1147) (Text with EEA relevance) (2000/532/EC),💚 WASTE,eudn,not_making,0.17,,,0,f,f,enhesa_import,
eu_directive_or_decision,UK_eudn_2019_1202,Commission Implementing Decision (EU) 2019/1202 of 12 July 2019 on the harmonised standards for equipment and protective systems intended for use in potentially explosive atmospheres drafted in support of Directive 2014/34/EU of the European Parliament and of the Council,,eudn,not_making,0.12,,,0,f,f,enhesa_import,
eu_directive_or_decision,UK_eudr_2000_78,Council Directive 2000/78/EC of 27 November 2000 establishing a general framework for equal treatment in employment and occupation,💜 HR: Employment,eudr,not_making,0.17,,,0,f,f,enhesa_import,
eu_directive_or_decision,UK_eudr_2001_42,Directive 2001/42/EC of the European Parliament and of the Council of 27 June 2001 on the assessment of the effects of certain plans and programmes on the environment,💚 ENVIRONMENTAL PROTECTION,eudr,not_making,0.17,,,0,f,f,enhesa_import,
eu_directive_or_decision,UK_eudr_2002_15,Directive 2002/15/EC of the European Parliament and of the Council of 11 March 2002 on the organisation of the working time of persons performing mobile road transport activities,💙 TRANSPORT: Road Safety,eudr,not_making,0.17,,,0,f,f,enhesa_import,
eu_directive_or_decision,UK_eudr_2003_88,Directive 2003/88/EC of the European Parliament and of the Council of 4 November 2003 concerning certain aspects of the organisation of working time,💜 HR: Employment,eudr,not_making,0.17,,,0,f,f,enhesa_import,
principal_candidate,UK_asp_2008_5,Public Health etc. (Scotland) Act,💙 HEALTH: Public,asp,,,,,0,f,f,bms_import,
principal_candidate,UK_asp_2011_6,Wildlife and Natural Environment (Scotland) Act,💚 WILDLIFE & COUNTRYSIDE,asp,uncertain,0.52,,,450,f,f,bms_import,
principal_candidate,UK_eur_2008_307,"Commission Regulation (EC) No 307/2008 of 2 April 2008 establishing, pursuant to Regulation (EC) No 842/2006 of the European Parliament and of the Council, minimum requirements for training programmes and the conditions for mutual recognition of training attestations for personnel as regards air-conditioning systems in certain motor vehicles containing certain fluorinated greenhouse gases (Text with EEA relevance)",💚 CLIMATE CHANGE,eur,not_making,0.17,,,19,f,f,enhesa_import,
principal_candidate,UK_eur_2016_1387,Commission Delegated Regulation (EU) 2016/1387 of 9 June 2016 amending Annexes I and III to Council Regulation (EC) No 2173/2005 following a Voluntary Partnership Agreement with Indonesia for a FLEGT licensing scheme for imports of timber into the European Union,💚 TREES: Forestry & Timber,eur,not_making,0.12,,,0,t,t,enhesa_import,
principal_candidate,UK_ssi_2000_149,Children (Protection at Work) (Scotland) Regulations,💙 OH&S: Occupational / Personal Safety,ssi,not_making,0.12,,,0,f,f,bms_import,
principal_candidate,UK_ssi_2004_332,Town and Country Planning (Electronic Communications) (Scotland) Order,💚 TOWN & COUNTRY PLANNING,ssi,,,,,49,t,t,enhesa_import,
principal_candidate,UK_ssi_2004_512,Control of Volatile Organic Compounds (Petrol Vapour Recovery) (Scotland) Regulations,💚 AIR QUALITY,ssi,not_making,0.12,,,12,t,t,enhesa_import,
principal_candidate,UK_ssi_2005_172,Building (Forms) (Scotland) Regulations,💙 PUBLIC: Building Safety,ssi,not_making,0.12,,,0,t,t,enhesa_import,
principal_candidate,UK_ssi_2005_22,Waste (Scotland) Regulations,💚 WASTE,ssi,making,0.61,,t,90,t,t,enhesa_import,
principal_candidate,UK_ssi_2005_63,Water (Prevention of Pollution) (Code of Practice) (Scotland) Order,💚 POLLUTION,ssi,,,,,12,t,t,enhesa_import,
principal_candidate,UK_ssi_2005_658,Contaminated Land (Scotland) Regulations,💚 POLLUTION,ssi,uncertain,0.44,,,73,f,f,bms_import,
principal_candidate,UK_ssi_2005_66,Possession of Pesticides (Scotland) Order,💚 AGRICULTURE: Pesticides,ssi,not_making,0.12,,,0,t,t,enhesa_import,
principal_candidate,UK_ssi_2006_140,Children (Protection at Work) (Scotland) Regulations,💙 OH&S: Occupational / Personal Safety,ssi,not_making,0.12,,,0,t,t,enhesa_import,
principal_candidate,UK_ssi_2006_155,Sewerage Nuisance (Code of Practice) (Scotland) Order,💚 WATER & WASTEWATER,ssi,not_making,0.12,,,0,t,t,enhesa_import,
principal_candidate,UK_ssi_2007_179,Radioactive Contaminated Land (Scotland) Regulations,💚 NUCLEAR & RADIOLOGICAL,ssi,not_making,0.17,,,0,f,f,bms_import,
principal_candidate,UK_ssi_2008_221,Register of Sites of Special Scientific Interest (Scotland) Regulations,💚 WILDLIFE & COUNTRYSIDE,ssi,not_making,0.17,,,34,f,f,bms_import,
principal_candidate,UK_ssi_2009_378,Planning (Control of Major–Accident Hazards) (Scotland) Regulations,💚 PLANNING & INFRASTRUCTURE,ssi,not_making,0.17,,,0,f,f,bms_import,
principal_candidate,UK_ssi_2010_434,Town and Country Planning (Tree Preservation Order and Trees in Conservation Areas) (Scotland) Regulations,💚 TOWN & COUNTRY PLANNING,ssi,,,,,98,f,f,enhesa_import,
principal_candidate,UK_ssi_2010_435,Waste Information (Scotland) Regulations,💚 WASTE,ssi,making,0.51,,t,53,t,t,enhesa_import,
principal_candidate,UK_ssi_2011_226,Waste (Scotland) Regulations,💚 WASTE,ssi,,,,,81,f,f,enhesa_import,
principal_candidate,UK_ssi_2011_368,Water Environment (Relevant Enactments and Designation of Responsible Authorities and Functions) (Scotland) Order 2011,💚 WATER & WASTEWATER,ssi,uncertain,0.63,,,9,t,t,enhesa_import,
principal_candidate,UK_ssi_2011_418,Control of Volatile Organic Compounds (Petrol Vapour Recovery) (Scotland) Regulations,💚 AIR QUALITY,ssi,not_making,0.12,,,18,t,t,enhesa_import,
principal_candidate,UK_ssi_2012_148,Waste (Scotland) Regulations,💚 WASTE,ssi,,,,,33,t,t,enhesa_import,
principal_candidate,UK_ssi_2012_214,Green Deal (Acknowledgment) (Scotland) Regulations,💚 CLIMATE CHANGE,ssi,not_making,0.17,,,0,t,t,enhesa_import,
principal_candidate,UK_ssi_2014_367,Scottish Landfill Tax (Prescribed Landfill Site Activities) Order,💚 WASTE,ssi,,,,,23,t,t,enhesa_import,
principal_candidate,UK_ssi_2021_50,Personal Protective Equipment (Temporary Arrangements) (Coronavirus) (Scotland) Regulations,💙 HEALTH: Coronavirus,ssi,not_making,0.08,,,39,t,t,enhesa_import,
principal_candidate,UK_ukpga_1883_3,Explosive Substances Act,💙 FIRE: Dangerous and Explosive Substances,ukpga,not_making,0.09,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_1933_13,Foreign Judgments (Reciprocal Enforcement) Act,,ukpga,,,,,107,f,f,enhesa_import,
principal_candidate,UK_ukpga_1947_41,Fire Services Act,,ukpga,,,,,102,f,f,enhesa_import,
principal_candidate,UK_ukpga_1947_48,Agriculture Act,💚 AGRICULTURE,ukpga,uncertain,0.43,,,187,f,f,enhesa_import,
principal_candidate,UK_ukpga_1947_53,Town and Country Planning (Scotland) Act,💚 TOWN & COUNTRY PLANNING,ukpga,uncertain,0.62,,,33,f,f,enhesa_import,
principal_candidate,UK_ukpga_1949_55,Prevention of Damage by Pests Act,💚 AGRICULTURE: Pesticides,ukpga,uncertain,0.34,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_1959_66,Obscene Publications Act,💙 PUBLIC,ukpga,not_making,0.06,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_1964_74,Obscene Publications Act,💙 PUBLIC,ukpga,not_making,0.12,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_1986_14,Animals (Scientific Procedures) Act,💚 ANIMALS & ANIMAL HEALTH,ukpga,uncertain,0.34,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_1989_6,Official Secrets Act,,ukpga,,,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_1990_18,Computer Misuse Act,💙 PUBLIC: Data,ukpga,making,0.85,,t,0,f,f,bms_import,
principal_candidate,UK_ukpga_1991_40,Road Traffic Act,💙 TRANSPORT: Road Safety,ukpga,uncertain,0.44,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_1998_33,Landmines Act,💙 FIRE: Dangerous and Explosive Substances,ukpga,uncertain,0.34,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_2006_46,Companies Act,,ukpga,uncertain,0.52,,,0,f,f,enhesa_import,
principal_candidate,UK_ukpga_2008_20,Health and Safety (Offences) Act,💙 OH&S: Occupational / Personal Safety,ukpga,not_making,0.12,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_2010_11,Cluster Munitions (Prohibitions) Act,💙 FIRE: Dangerous and Explosive Substances,ukpga,uncertain,0.64,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_2010_23,Bribery Act,,ukpga,,,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_2015_6,Counter-Terrorism and Security Act,💙 PUBLIC,ukpga,uncertain,0.43,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_2016_25,Investigatory Powers Act,,ukpga,,,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_2017_3,Policing and Crime Act,,ukpga,,,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_2018_16,European Union (Withdrawal) Act,,ukpga,,,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_2019_17,Offensive Weapons Act,,ukpga,making,0.70,,t,0,f,f,bms_import,
principal_candidate,UK_ukpga_2019_3,Counter-Terrorism and Border Security Act,,ukpga,,,,,0,f,f,bms_import,
principal_candidate,UK_ukpga_2023_55,Levelling-up and Regeneration Act,,ukpga,making,0.52,,t,3351,t,t,enhesa_import,
principal_candidate,UK_uksi_1969_1263,Clean Air (Emission of Dark Smoke) (Exemption) Regulations,💚 AIR QUALITY,uksi,not_making,0.12,,,6,t,t,enhesa_import,
principal_candidate,UK_uksi_1969_47,Firearms (Dangerous Air Weapons) Rules,💙 PUBLIC,uksi,not_making,0.12,,,0,f,f,bms_import,
principal_candidate,UK_uksi_1979_791,Forestry (Felling of Trees) Regulations,💚 TREES: Forestry & Timber,uksi,,,,,0,f,f,enhesa_import,
