funnel_state,next_action,law_name,title,family,making_classification,making_review,lat_candidate,lat_count,has_fitness,has_tree,duty_types,last_lat_session,last_session_status,verdict
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_ssi_2004_204,Special Waste Amendment (Scotland) Amendment Regulations,💚 WASTE,not_making,"",f,0,f,f,"",lat-parse-bms-triage-2026-07-28,cleaned,""
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_ssi_2007_179,Radioactive Contaminated Land (Scotland) Regulations,💚 NUCLEAR & RADIOLOGICAL,not_making,"",f,0,f,f,"[""Duty"", ""Responsibility"", ""Power""]",lat-parse-bms-triage-2026-07-28,cleaned,""
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_ssi_2009_378,Planning (Control of Major–Accident Hazards) (Scotland) Regulations,💚 PLANNING & INFRASTRUCTURE,not_making,"",f,0,f,f,"",lat-parse-bms-triage-2026-07-28,cleaned,""
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_1993_566,Controlled Waste (Amendment) Regulations,💚 WASTE,not_making,"",f,0,f,f,"",lat-parse-bms-triage-2026-07-28,cleaned,""
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2007_1819,Community Drivers’ Hours and Recording Equipment Regulations,,not_making,"",f,0,f,f,"",lat-parse-bms-triage-2026-07-28,cleaned,""
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2009_1210,Merchant Shipping (Implementation of Ship-Source Pollution Directive) Regulations,💚 TRANSPORT: Harbours & Shipping,not_making,"",f,0,f,f,"",lat-parse-bms-triage-2026-07-28,cleaned,""
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2010_1759,Firearms (Amendment) Regulations,,not_making,"",f,0,f,f,"",lat-parse-bms-triage-2026-07-28,cleaned,""
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2012_1139,Batteries and Accumulators (Placing on the Market) (Amendment) Regulations,💚 WASTE,not_making,"",f,0,f,f,"",lat-parse-bms-triage-2026-07-28,cleaned,""
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2015_1653,"Motor Vehicles (Variation of Speed Limits for Naval, Military and Air Force Vehicles) (England and Wales) Regulations",,not_making,"",f,0,f,f,"",lat-parse-bms-triage-2026-07-28,cleaned,""
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2019_24,Ionising Radiation (Environmental and Public Protection) (Miscellaneous Amendments) (EU Exit) Regulations,💚 NUCLEAR & RADIOLOGICAL,not_making,"",f,0,f,f,"",lat-parse-bms-triage-2026-07-28,cleaned,""
C1_fractalaw_confirmed_not_making_cleaned,qq_cleanup:fractalaw_confirmed_not_making,UK_wsi_2018_725,Radioactive Contaminated Land (Modification of Enactments) (Wales) (Amendment) Regulations,💚 NUCLEAR & RADIOLOGICAL,not_making,"",f,0,f,f,"",lat-parse-bms-triage-2026-07-28,cleaned,""
F1_fractalaw_found_duties,legal_fix:is_making_true,UK_ukpga_2023_55,Levelling-up and Regeneration Act,,making,"",t,3351,t,t,"[""Responsibility"", ""Power"", ""Duty"", ""Right""]",lat-parse-qq-missing-fractalaw-2026-06-24-0826,confirmed,""
F1_fractalaw_found_duties,legal_fix:is_making_true,UK_uksi_1990_1380,Health and Safety (Training for Employment) Regulations,💙 OH&S: Occupational / Personal Safety,uncertain,"",t,8,t,t,"[""Duty""]",lat-reparse-shallow-2026-07-13,confirmed,""
F1_fractalaw_found_duties,legal_fix:is_making_true,UK_uksi_2017_1177,Environmental Damage (Prevention and Remediation) (England) (Amendment) Regulations,💚 ENVIRONMENTAL PROTECTION,making,"",t,25,t,t,"[""Duty"", ""Responsibility""]",lat-parse-qq-missing-2026-07-09,confirmed,""
F1_fractalaw_found_duties,legal_fix:is_making_true,UK_uksi_2021_746,Town and Country Planning (Development Management Procedure and Section 62A Applications) (England) (Amendment) Order,💚 TOWN & COUNTRY PLANNING,making,"",t,89,t,t,"[""Duty"", ""Responsibility""]",lat-parse-qq-missing-2026-07-09,confirmed,""
F2_fractalaw_rights_powers_only,qq_cleanup:fractalaw_confirmed_not_making,UK_ssi_2005_22,Waste (Scotland) Regulations,💚 WASTE,making,"",t,90,t,t,"[""Right""]",lat-parse-qq-missing-2026-07-09,confirmed,""
F2_fractalaw_rights_powers_only,qq_cleanup:fractalaw_confirmed_not_making,UK_ssi_2010_435,Waste Information (Scotland) Regulations,💚 WASTE,making,"",t,53,t,t,"[""Right""]",lat-parse-qq-missing-2026-07-09,confirmed,""
F2_fractalaw_rights_powers_only,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2005_1904,Passenger and Goods Vehicles (Recording Equipment) Regulations,💙 TRANSPORT: Road Safety,uncertain,making,t,43,t,t,"[""Right""]",lat-parse-qq-missing-fractalaw-2026-06-24-0826,confirmed,""
F2_fractalaw_rights_powers_only,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2006_2950,Merchant Shipping (Prevention of Pollution by Sewage and Garbage) Order,💚 TRANSPORT: Harbours & Shipping,making,"",t,21,t,t,"[""Right""]",lat-parse-qq-missing-fractalaw-2026-06-24-0826,confirmed,""
F2_fractalaw_rights_powers_only,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2006_3368,Smoke-free (Premises and Enforcement) Regulations,💙 HEALTH: Public,making,"",t,35,t,t,"[""Right""]",lat-parse-qq-missing-fractalaw-2026-06-24-0826,confirmed,""
F2_fractalaw_rights_powers_only,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2007_765,Smoke-free (Exemptions and Vehicles) Regulations,💙 HEALTH: Public,not_making,"",f,98,t,t,"[""Right""]",lat-parse-qq-missing-fractalaw-2026-06-24-0826,confirmed,""
F2_fractalaw_rights_powers_only,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2014_549,"Enterprise and Regulatory Reform Act 2013 (Competition) (Consequential, Transitional and Saving Provisions) (No. 2) Order",,"","",t,25,t,t,"[""Right""]",lat-parse-qq-missing-fractalaw-2026-06-24-0826,confirmed,""
F2_fractalaw_rights_powers_only,qq_cleanup:fractalaw_confirmed_not_making,UK_uksi_2024_666,Separation of Waste (England) Regulations,💚 WASTE,"","",t,26,t,t,"[""Right""]",lat-parse-qq-no-lat-backfill-2026-06-25-2003,confirmed,""
F3_fractalaw_no_drrp_output,fractalaw:why_no_drrp,UK_ssi_2004_112,Special Waste Amendment (Scotland) Regulations,💚 WASTE,"","",t,24,t,t,"",lat-parse-qq-missing-2026-07-09,confirmed,""
F3_fractalaw_no_drrp_output,fractalaw:why_no_drrp,UK_ssi_2004_332,Town and Country Planning (Electronic Communications) (Scotland) Order,💚 TOWN & COUNTRY PLANNING,"","",t,49,t,t,"",lat-parse-qq-missing-2026-07-09,confirmed,""
F3_fractalaw_no_drrp_output,fractalaw:why_no_drrp,UK_ssi_2004_512,Control of Volatile Organic Compounds (Petrol Vapour Recovery) (Scotland) Regulations,💚 AIR QUALITY,not_making,"",f,12,t,t,"",lat-parse-qq-missing-2026-07-09,confirmed,""
F3_fractalaw_no_drrp_output,fractalaw:why_no_drrp,UK_ssi_2005_52,Waste and Emissions Trading Act 2003 (Commencement) (Scotland) Order,💚 WASTE,"","",t,7,t,t,"",lat-parse-qq-missing-2026-07-09,confirmed,""
F3_fractalaw_no_drrp_output,fractalaw:why_no_drrp,UK_ssi_2005_63,Water (Prevention of Pollution) (Code of Practice) (Scotland) Order,💚 POLLUTION,"","",t,12,t,t,"",lat-parse-qq-missing-2026-07-09,confirmed,""
F3_fractalaw_no_drrp_output,fractalaw:why_no_drrp,UK_ssi_2006_181,Water Environment (Consequential and Savings Provisions) (Scotland) Order,💚 WATER & WASTEWATER,"","",t,8,t,t,"",lat-parse-qq-missing-2026-07-09,confirmed,""
F3_fractalaw_no_drrp_output,fractalaw:why_no_drrp,UK_ssi_2011_368,Water Environment (Relevant Enactments and Designation of Responsible Authorities and Functions) (Scotland) Order 2011,💚 WATER & WASTEWATER,uncertain,"",t,9,t,t,"",lat-reparse-shallow-2026-07-13,confirmed,""
F3_fractalaw_no_drrp_output,fractalaw:why_no_drrp,UK_ssi_2011_418,Control of Volatile Organic Compounds (Petrol Vapour Recovery) (Scotland) Regulations,💚 AIR QUALITY,not_making,"",f,18,t,t,"",lat-parse-qq-missing-2026-07-09,confirmed,""
F3_fractalaw_no_drrp_output,fractalaw:why_no_drrp,UK_ssi_2012_148,Waste (Scotland) Regulations,💚 WASTE,"","",t,33,t,t,"",lat-parse-qq-missing-2026-07-09,confirmed,""
